stratum,model,n,wRMSE,PoissonDev
sparse (E* < median),MF (weighted),273,5934.4527953114475,20714876.893671177
sparse (E* < median),CMF (side info),273,7657.96464140042,27148108.328714937
sparse (E* < median),GLM,273,5950.599253105318,17494431.333485637
sparse (E* < median),GLMM,273,5950.599253105318,17494431.333485637
dense  (E* >= median),MF (weighted),274,4196.896851364723,86567891.41834223
dense  (E* >= median),CMF (side info),274,3130.340608311859,126274506.39894271
dense  (E* >= median),GLM,274,1724.3919980118403,48370469.40455812
dense  (E* >= median),GLMM,274,1724.3919980118403,48370469.40455812
