VehModel,Area,exposure,actual_rate,glmm_rate_mean,ci90_low,ci90_high,ci90_width
Honda - Cg 150 Titan-es,Ribeirao Preto e Demais Mun. de Campinas,148.35999999999999,40.84658937719062,83.89055569142596,40.426615484603204,243.41582221216743,202.98920672756424
Honda - Cg 150 Titan-es,Triangulo mineiro,100.5,51.87064676616915,99.92476195532448,50.943471296005185,269.8432717552868,218.89980045928164
Honda - Cg 150 Titan-es,Vale do Paraiba e Ribeira,107.94,113.04428386140448,129.6015895875689,111.79413058110894,167.20065567450672,55.406525093397775
Honda - Cg 150 Titan-esd/ Titan Special Edition,Demais regioes,105.39,30.202106461713633,99.98439053918331,29.61260523530201,1511.0657571666889,1481.4531519313869
Honda - Cg 150 Titan-esd/ Titan Special Edition,Goias,134.68,91.62459162459162,209.97272110782114,90.95976282864132,2155.8736418857766,2064.913879057135
Honda - Cg 150 Titan-esd/ Titan Special Edition,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,234.97,85.17257522236882,143.77273472795747,59.19757917971054,1100.532565472979,1041.3349862932685
Honda - Cg 150 Titan-esd/ Titan Special Edition,Ribeirao Preto e Demais Mun. de Campinas,173.22,57.74737328253089,120.03840487550683,53.35416328121506,993.9585612037945,940.6043979225794
Honda - Cg 150 Titan-ks/ Titan-job,Bahia,167.39000000000001,106.61927235796642,134.43348242389303,65.5807099104044,324.0773140421157,258.4966041317113
Honda - Cg 150 Titan-ks/ Titan-job,Demais regioes,129.46,297.443225706782,291.4637283700732,125.57802815613469,640.5941370036807,515.016108847546
Honda - Cg 150 Titan-ks/ Titan-job,Grande Campinas,182.18,182.91250411680755,226.96943220320725,128.769209407149,529.9821509558899,401.2129415487409
Honda - Cg 150 Titan-ks/ Titan-job,Met. de Sao Paulo,154.0427397261001,293.3926005234664,299.7834310621262,170.57550357215635,551.4979906283503,380.922487056194
Honda - Cg 150 Titan-ks/ Titan-job,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,236.52,68.43818704549298,124.5297131939058,67.7711797673758,466.554189619178,398.78300985180215
Honda - Cg 150 Titan-ks/ Titan-job,Pernambuco,223.22547945220023,75.98146968537208,114.71241314362909,75.2277807733596,315.4552868989543,240.2275061255947
Honda - Cg 150 Titan-ks/ Titan-job,Ribeirao Preto e Demais Mun. de Campinas,306.62,45.40473550322875,98.33237103671837,44.900884466473144,421.374044223397,376.47315975692385
Honda - Cg 150 Titan-ks/ Titan-job,Triangulo mineiro,163.07,59.7473477647636,133.6303600042713,59.27592777314461,467.12211390428354,407.84618613113895
Honda - Cg 150 Titan-ks/ Titan-job,Vale do Paraiba e Ribeira,175.29999999999998,158.41414717626927,173.6009527442771,131.42798986384872,289.4388333454611,158.01084348161237
Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f),Ribeirao Preto e Demais Mun. de Campinas,105.07000000000001,780.4606452840962,660.6950065594299,394.70102010008105,784.5326990383143,389.8316789382332
Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.),Met. de Sao Paulo,581.08,539.1237006952571,656.0988890416323,525.1974613071981,1223.3667359366805,698.1692746294824
Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.),Met. do Rio de Janeiro,131.04,347.54273504273505,487.94689598421894,345.11060315872,1362.5572554738505,1017.4466523151306
Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.),Ribeirao Preto e Demais Mun. de Campinas,159.65547945220024,298.4113051645308,410.9784286276691,296.6320854922976,934.717834391784,638.0857488994864
Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.),Met. de Sao Paulo,223.36273972610013,175.35601527824198,244.12194025645405,174.04537924509918,665.0782352918085,491.0328560467093
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Brasilia,141.68,828.1620553359684,763.3575142491583,587.7779771729662,831.5143906185073,243.73641344554107
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Demais regioes,136.39000000000001,584.6323044211451,672.6005874879846,581.4901485591189,1035.061704618997,453.57155605987816
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Grande Campinas,156.36,333.051931440266,420.7362154661135,330.9744070694233,856.3370356090342,525.3626285396108
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Met. Curitiba,155.24273972610013,438.32001496531046,516.304828167093,436.35016605321846,785.1404117654403,348.7902457122218
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Met. Porto Alegre e Caxias do Sul,171.64,473.7065951992543,551.4207371553574,471.23628862686957,877.2200563477605,405.98376772089097
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Met. de Sao Paulo,1197.1254794522001,664.8902004526934,706.8851367361968,639.1468825432253,891.101425562818,251.95454301959273
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Met. do Rio de Janeiro,364.8109589039348,926.5401483978123,940.1136571208125,924.1842143994756,992.4884736573188,68.30425925784311
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,152.21,419.4928059917219,488.1829498507812,417.3602979046984,753.8508397554507,336.49054185075227
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Ribeirao Preto e Demais Mun. de Campinas,376.12,638.0144634691056,646.9120503436286,635.9829296959649,680.8494522776724,44.8665225817075
Honda - Civic Sedan Ex 1.7 16v 130cv Aut. 4p,Vale do Paraiba e Ribeira,115.71,379.32762941837353,440.81544042164734,377.10027126394516,573.4702041897773,196.36993292583213
Honda - Civic Sedan Ex 1.7 16v 130cv Mec. 4p,Met. de Sao Paulo,105.10000000000001,207.8496669838249,251.2904063642749,205.8032765116361,446.92354983820707,241.12027332657095
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Bahia,218.01,1197.9175267189578,1072.8009720029206,771.6268223391586,1200.880404993459,429.25358265430043
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Blumenau e demais regioes,178.10821917783468,1025.5618794190486,1151.5066154471629,1022.6197826438913,1444.8670767463339,422.24729410244254
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Brasilia,294.69,726.8553395093148,764.7444948965438,724.5775093122098,891.2033404846305,166.6258311724207
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Demais regioes,362.33,1184.9281042143903,1258.1591948674866,1167.9751142231476,1525.8074658763742,357.8323516532266
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Espirito Santo,140.34,1178.373948981046,1415.395082000919,1174.1262807461653,2453.8345971616804,1279.7083164155151
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Goias,173.12,2067.456099815157,2089.4837048079767,2062.1123459731707,2176.0637500519315,113.95140407876079
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Grande Campinas,371.12547945220024,714.0091819918537,823.1959284965251,711.9242410540262,1262.0564549024418,550.1322138484156
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Interior,121.41,1166.6254838975374,1059.9140796749382,691.397382618748,1329.6906546755392,638.2932720567912
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Met. Curitiba,328.1,1745.2148735141725,1574.8056845193746,1154.9691767527045,1748.6435620205616,593.6743852678571
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Met. Florianopolis e Sul,134.16,677.8324388789505,840.4286413210611,674.6014467598022,1601.8772310839515,927.2757843241493
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Met. Porto Alegre e Caxias do Sul,303.98,1706.2504112112638,1592.5339069341824,1292.799351284973,1709.887912570082,417.0885612851091
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Met. de Sao Paulo,2545.05,1223.8906897703384,1245.6203353982703,1222.838784444025,1313.652984544433,90.81420010040802
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Met. do Rio de Janeiro,683.9,1894.5152800116978,1775.689620596977,1460.832697754667,1896.9423413003335,436.1096435456666
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,367.91547945220026,1391.672893900409,1315.5638249496988,1110.6332103155905,1394.4542573361462,283.8210470205556
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Pernambuco,141.93273972610012,713.9156208464756,754.8011010116147,711.1649141621249,848.6250876704848,137.46017350835996
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Ribeirao Preto e Demais Mun. de Campinas,929.35,817.9394200247484,860.9750973309859,816.492434783765,1005.4037497492629,188.91131496549792
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Triangulo mineiro,100.95,2713.412580485389,2170.581529831423,1111.184810047237,2720.8799933446458,1609.6951832974087
Honda - Civic Sedan Exs 1.8/1.8 Flex 16v Aut. 4p,Vale do Paraiba e Ribeira,206.07,1410.3751152520988,1119.4132657188427,689.1078765287906,1413.7394532208298,724.6315766920392
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Brasilia,151.45,811.739848134698,631.3500315989097,292.1932875813568,814.9510712964046,522.7577837150478
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Demais regioes,131.05,648.0198397558183,609.9619690151253,500.7612764512488,651.17256624775,150.41128979650114
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Grande Campinas,180.57,181.5473223680567,224.19424191837044,180.19335522039776,425.1458600409085,244.9525048205107
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Met. Curitiba,136.46,201.80272607357466,273.69055616198034,200.34923004739744,389.799020249752,189.44979020235456
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Met. Porto Alegre e Caxias do Sul,132.99,876.2162568614181,631.889522673641,425.26018099989767,879.3591952836663,454.0990142837686
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Met. de Sao Paulo,1397.15,541.3269870808431,524.1175849831047,431.1506021616078,588.091870451418,156.94126828981018
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Met. do Rio de Janeiro,338.3382191778347,514.1718852299167,499.8557760104786,479.6371715133362,516.225534312196,36.588362798859805
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,145.69,600.3912416775345,483.997080668711,364.69918917900145,602.9393691911097,238.24018001210823
Honda - Civic Sedan Lx 1.6 16v Aut. 4p,Ribeirao Preto e Demais Mun. de Campinas,444.92,354.4075339386856,352.0817600541491,329.9747397099707,365.7602353635556,35.78549565358486
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Brasilia,131.69547945220023,601.4177580692709,461.19438797334334,204.60892079157097,604.6561101212438,400.04718932967285
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Demais regioes,151.78,800.8235604163922,582.6659302833506,350.66105623246517,803.6313838942953,452.9703276618301
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Grande Campinas,185.1,354.0788762830902,381.1047049226896,289.70217731186307,571.7358035647603,282.03362625289725
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Met. Curitiba,120.87,396.2273517001737,389.47191982702753,265.55926866701816,541.1704472425524,275.61117857553427
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Met. Porto Alegre e Caxias do Sul,124.56,270.5362877328195,278.3805091995711,268.4645014490301,304.94055004018014,36.47604859115006
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Met. de Sao Paulo,1197.5,335.24091858037576,327.92213726403867,301.91458266390987,336.0761447819959,34.16156211808601
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Met. do Rio de Janeiro,401.72273972610014,638.308401896374,551.7292805230313,335.8666612243183,666.4221149188679,330.5554536945496
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,181.76547945220022,516.401685748497,427.0459214620056,255.37789576669317,518.088474187245,262.71057842055177
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Ribeirao Preto e Demais Mun. de Campinas,555.1127397261001,628.1769000150448,491.08329799105246,231.0650691012035,629.7964460858861,398.73137698468264
Honda - Civic Sedan Lx 1.6 16v Mec. 4p,Vale do Paraiba e Ribeira,110.17999999999999,699.9183154837539,455.2182962236557,158.61965746538405,703.0248842648709,544.4052267994869
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Bahia,279.2619178078696,374.3439163513975,363.3581050470517,326.61297776118823,376.1398433847323,49.52686562354404
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Blumenau e demais regioes,300.0836986305006,293.09156212546276,353.3771251366857,291.7358296830787,624.6454148334273,332.90958515034856
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Brasilia,523.8509589044005,452.4359380685082,438.3580467359204,375.1177342288051,473.5127021025173,98.39496787371223
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Ceara,223.62547945220024,599.3368927740999,607.223018799051,580.4483517341216,656.2255514510981,75.7771997169765
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Demais regioes,551.3154794522003,429.16081412242255,476.7344852515498,427.8074863544188,659.6637764527899,231.85629009837106
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Espirito Santo,231.15,485.8187324248324,589.2046451744094,483.68737442497746,1060.3342828726702,576.6469084476928
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Goias,313.15999999999997,454.71963213692686,543.0057653670258,453.03170316469465,941.1580254440872,488.1263222793926
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Grande Campinas,465.98,731.2910425340143,657.863483776996,531.1215667945207,732.887676313181,201.7661095186603
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Interior,236.62,926.4009804750232,698.6885434758036,294.30838697322986,929.3845960767972,635.0762091035673
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Mato Grosso do Sul,199.39000000000001,495.8824414464115,545.7093022090597,494.06612575220885,702.7269420840338,208.66081633182495
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Met. Curitiba,401.43,746.8973420023416,674.1589499910954,486.8589319784437,748.9060498126166,262.0471178341729
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Met. Florianopolis e Sul,145.28,543.5022026431718,582.7674327384033,540.1229356131678,692.8167364482567,152.69380083508895
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Met. Porto Alegre e Caxias do Sul,375.7654794522002,744.7304643522955,685.5907768242673,545.9255497225514,746.5319721339854,200.60642241143398
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Met. de Sao Paulo,2742.96,539.6560649808965,545.3025618135835,539.0036174290855,567.9152814341344,28.91166400504892
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Met. do Rio de Janeiro,1288.82,801.4160239599014,753.5275175071199,615.7592974393889,802.610732845253,186.8514354058641
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,662.2782191778347,466.2874167647629,484.545692248422,465.2509740651431,533.8593592204464,68.60838515530332
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Para,125.60821917783468,620.715750213887,440.5445843515219,189.3549717782455,623.9502292266628,434.5952574484173
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Paraiba,112.64,1778.817471590909,1556.4672300244445,1026.6674410865153,1784.2029860987636,757.5355450122483
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Pernambuco,283.65821917783467,778.0842756459302,624.0431338162031,316.8435750841663,780.439690574498,463.59611549033167
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Ribeirao Preto e Demais Mun. de Campinas,1912.4,483.2723279648609,468.0747397807833,423.62011444641826,483.9371928083812,60.317078361962956
Honda - Civic Sedan Lx 1.7 16v 115cv Mec. 4p,Rio Grande do Norte,108.20273972610012,367.2642679898276,359.5014645942972,202.99718450016144,603.2192863112347,400.22210181107323
